region,site_code,site_name,habitat,latitude,longitude,survey_date
BC,BC4,Broward County 4,Inner,26.1494,-80.0894,4/6/24
BC,BC1,Broward County 1,Inner,26.1479,-80.096,4/6/24
BC,BC2,Broward County 2,Middle,26.16,-80.0825,4/6/24
BC,BC5,Broward County 5,Middle,26.3019,-80.0682,5/6/24
BC,USEC24,"Sunrise Blvd, FL",,26.13943,-80.09856,5/6/24
BC,BCA,Broward County A,NS,26.1498,-80.0968,6/6/24
BC,USEC26,John U. Lloyd Beach State Park,,26.08314,-80.10411,6/6/24
BC,BC3,Broward County 3,Outer,26.1586,-80.0774,7/6/24
LK,5S5,Rock Key Shallow,OS,24.4545,-81.8589,10/9/24
LK,2S1,Sand Key Shallow,OS,24.452,-81.8775,10/9/24
LK,5D5,Rock Key Deep,OD,24.4532,-81.8568,10/9/24
LK,2D1,Sand Key Deep,OD,24.4517,-81.8798,10/9/24
LK,5S3,Eastern Sambo Shallow,OS,24.4917,-81.663565,11/9/24
LK,5S4,Western Sambo Shallow,OS,24.4796,-81.7176,11/9/24
LK,5D3,Eastern Sambo Deep,OD,24.4884,-81.6659,11/9/24
LK,5D4,Western Sambo Deep,OD,24.478,-81.7171,11/9/24
LK,5P5,Wonderland,P,24.5603,-81.5021,12/9/24
LK,5P6,Red Dun Reef,P,24.5209,-81.6621,12/9/24
LK,5P1,West Washer Women,P,24.5475,-81.5866,12/9/24
DT,1PB,Davis Rock,PC,24.6871,-82.9072,3/6/25
DT,1PC,Texas Rock,PC,24.6805,-82.8853,3/6/25
DT,1P5,Mayer's Peak,PC,24.608,-82.944,4/6/25
DT,1P4,Temptation Rock,PC,24.6431,-82.9307,4/6/25
DT,1PA,The Maze,PC,24.609,-82.9496,4/6/25
DC,DC4,Dade County 4,Middle,25.6726,-80.0884,4/8/25
DC,DC8,Dade County 8,NS,25.6785,-80.1186,4/8/25
DT,1P7,Little Africa,P,24.635,-82.919,5/6/25
DT,1P6,Loggerhead Patch,P,24.635,-82.9163,5/6/25
DT,1P2,Palmata Patch,P,24.6207,-82.8673,5/6/25
DT,1P3,Prolifera Patch,P,24.6206,-82.8696,5/6/25
DT,1P1,White Shoal,P,24.6414,-82.8962,5/6/25
DT,CAR3,Windjammer,P,24.62429,-82.943,5/6/25
DC,DC1,Dade County 1,Inner,25.8423,-80.1042,5/8/25
DC,DC2,Dade County 2,Middle,25.8422,-80.095,5/8/25
DC,DC6,Dade County 6,NS,25.9516,-80.1091,5/8/25
DC,DC7,Dade County 7,Outer,25.9585,-80.0938,5/8/25
DT,1D2,Black Coral Rock,PC,24.6993,-83.0022,6/6/25
DT,DRTO2,Leah's Lump,PC,24.65668,-82.8102,6/6/25
DT,DRTO1,Okay Every Time,PC,24.65075,-83.0303,6/6/25
DC,DC3,Dade County 3,Outer,25.8421,-80.0881,6/8/25
DC,DC5,Dade County 5,Inner,25.6519,-80.0946,6/8/25
DT,1D1,Bird Key Reef,OD,24.6117,-82.8702,6/8/25
DT,DRTO3,Magic Castles,P,24.61371,-82.87121,6/8/25
MQ,MRQ1,Lion's Den,OD,24.45238,-82.1238,7/6/25
MQ,MRQ2,Sponge Bath,P,24.47663,-82.2062,7/6/25
LK,5D5,Rock Key Deep,OD,24.4532,-81.8568,8/7/25
LK,5S5,Rock Key Shallow,OS,24.4545,-81.8589,8/7/25
LK,2D1,Sand Key Deep,OD,24.4517,-81.8798,8/7/25
LK,2S1,Sand Key Shallow,OS,24.452,-81.8775,8/7/25
LK,5D3,Eastern Sambo Deep,OD,24.4884,-81.6659,9/7/25
LK,5S3,Eastern Sambo Shallow,OS,24.4917,-81.663565,9/7/25
LK,5D4,Western Sambo Deep,OD,24.478,-81.7171,9/7/25
LK,5S4,Western Sambo Shallow,OS,24.4796,-81.7176,9/7/25
LK,5P4,Jaap Reef,P,24.5857,-81.5826,10/7/25
LK,5D2,Looe Key Deep,OD,24.5421,-81.4153,10/7/25
LK,5S2,Looe Key Shallow,OS,24.5453,-81.4079,10/7/25
LK,5P5,Wonderland,P,24.5603,-81.5021,10/7/25
MC,MC1,Martin County 1,NS,27.1317,-80.134,10/11/25
MC,MC2,Martin County 2,NS,27.112,-80.1254,10/11/25
MC,MC3,Martin County 3,FT,27.1206,-80.1272,10/11/25
LK,5P3,Cliff Green,P,24.5036,-81.7677,11/7/25
LK,5P6,Red Dun Reef,P,24.5209,-81.6621,11/7/25
LK,5P1,West Washer Women,P,24.5475,-81.5866,11/7/25
LK,5P2,Western Head,P,24.4977,-81.8056,11/7/25
LK,FLK1,Lowe Shoal,BCP,24.7075,-81.9776,12/7/25
LK,2P1,Smith Shoal,BCP,24.7197,-81.9195,12/7/25
PB,PB4,Palm Beach 4,Outer,26.4878,-80.0391,12/11/25
PB,PB5,Palm Beach 5,Outer,26.4417,-80.0474,12/11/25
PB,PB1,Palm Beach 1,Inner,26.7097,-80.0286,13/11/25
PB,PB2,Palm Beach 2,Middle,26.6785,-80.0183,13/11/25
PB,PB3,Palm Beach 3,Outer,26.7104,-80.0158,13/11/25
LK,2P1,Smith Shoal,BCP,24.7197,-81.9195,13/9/24
LK,5P4,Jaap Reef,P,24.5857,-81.5826,13/9/24
MQ,MRQ25-109,Half Good,ISOL_HR,24.48286,-82.03677,14/10/25
MQ,MRQ25-33,Hammie,ISOL_MR,24.46832,-82.04002,14/10/25
MQ,MRQ25-31,Ruby Oasis,ISOL_MR,24.47666,-82.09169,14/10/25
DC,DC5,Dade County 5,Inner,25.6519,-80.0946,14/10/24
DC,DC8,Dade County 8,NS,25.6785,-80.1186,14/10/24
DC,DC4,Dade County 4,Middle,25.6726,-80.0884,14/10/24
MQ,MRQ25-43,Barreled,CONT_LR,24.45097,-82.09677,15/10/25
MQ,MRQ25-22,Big Eye,CONT_LR,24.45295,-82.1421,15/10/25
MQ,MRQ25-27,Suddenly Good,CONT_LR,24.45817,-82.16579,15/10/25
MQ,MRQ25-47,Twilight,ISOL_MR,24.48009,-82.1511,15/10/25
MQ,MRQ25-44,Wrasseland,ISOL_MR,24.47484,-82.16978,15/10/25
DC,DC1,Dade County 1,Inner,25.8423,-80.1042,15/10/24
DC,DC2,Dade County 2,Middle,25.8422,-80.095,15/10/24
DC,DC3,Dade County 3,Outer,25.8421,-80.0881,15/10/24
MK,7P3,Rawa Reef,P,24.7176,-80.9357,15/9/24
MK,7S2,Tennessee Shallow,OS,24.745,-80.7812,15/9/24
MK,7D2,Tennessee Deep,OD,24.7527,-80.7578,15/9/24
UK,9S4,Conch Shallow,OS,24.9553,-80.458,15/9/24
UK,9D4,Conch Deep,OD,24.9519,-80.4513,15/9/24
DC,DC6,Dade County 6,NS,25.9516,-80.1091,16/10/14
MQ,MRQ25-11,Funky Town,SPGR_LR,24.432,-82.44391,16/10/25
MQ,MRQ25-18,Megalopolis,ISOL_MR,24.49991,-82.31919,16/10/25
MQ,MRQ25-17,Snap City,ISOL_MR,24.50456,-82.30259,16/10/25
MQ,MRQ25-57,Stalactite,ISOL_MR,24.50277,-82.29808,16/10/25
DC,DC7,Dade County 7,Outer,25.9585,-80.0938,16/10/24
MK,7P4,Thor,P,24.6715,-81.0506,16/9/24
MK,7P1,West Turtle Shoal,P,24.6993,-80.9669,16/9/24
MK,7P2,Dustan Rocks,P,24.6895,-81.0302,16/9/24
UK,9P1,Turtle,P,25.2947,-80.2191,16/9/24
MQ,MRQ25-40,Average Joe,ISOL_MR,24.47601,-82.20581,17/10/25
MQ,MRQ25-41,Mantislandia,SPGR_LR,24.45886,-82.20629,17/10/25
UK,9P3,Porter Patch,P,25.1032,-80.3243,17/7/24
UK,9S2,Grecian Rocks,OS,25.1075,-80.3068,17/7/24
LK,3H1,Content Keys,BCP,24.8221,-81.4889,17/9/24
MK,5S1,Sombrero Shallow,OS,24.6253,-81.1116,17/9/24
MK,5D1,Sombrero Deep,OD,24.6223,-81.112,17/9/24
MK,7S1,Alligator Shallow,OS,24.8457,-80.624,17/9/24
MK,7D1,Alligator Deep,OD,24.8452,-80.6209,17/9/24
UK,9D1,Carysfort Deep,OD,25.2208,-80.2099,17/9/24
UK,9P5,Two Patches,P,25.0219,-80.439,18/7/24
UK,9P6,Burr Fish,P,24.9992,-80.4669,18/7/24
UK,9P4,Admiral,P,25.0447,-80.3948,18/7/24
UK,9D1,Carysfort Deep,OD,25.2208,-80.2099,18/8/25
UK,9S1,Carysfort Shallow,OS,25.2201,-80.2105,18/8/25
UK,9H1,Rattlesnake,HB,25.1736,-80.3475,18/8/25
UK,9P1,Turtle,P,25.2947,-80.2191,18/8/25
LK,5S2,Looe Key Shallow,OS,24.5453,-81.4079,18/9/24
LK,5D2,Looe Key Deep,OD,24.5421,-81.4153,18/9/24
UK,9S1,Carysfort Shallow,OS,25.2201,-80.2105,19/7/24
UK,9S3,Molasses Shallow,OS,25.0088,-80.3765,19/7/24
UK,9D3,Molasses Deep,OD,25.0072,-80.3756,19/7/24
MK,7D1,Alligator Deep,OD,24.8452,-80.6209,19/8/25
MK,7S1,Alligator Shallow,OS,24.8457,-80.624,19/8/25
UK,9P6,Burr Fish,P,24.9992,-80.4669,19/8/25
UK,FLK2,Cheeca Rocks,P,24.90405,-80.615467,19/8/25
UK,9D4,Conch Deep,OD,24.9519,-80.4513,20/8/25
UK,9S4,Conch Shallow,OS,24.9553,-80.458,20/8/25
UK,9H3,Dove Key,HB,25.0447,-80.4684,20/8/25
UK,9P5,Two Patches,P,25.0219,-80.439,20/8/25
BC,BC2,Broward County 2,Middle,26.16,-80.0825,21/10/25
BC,BC4,Broward County 4,Inner,26.1494,-80.0894,21/10/25
BC,BCA,Broward County A,NS,26.1498,-80.0968,21/10/25
UK,9H2,El Radabob,HB,25.1201,-80.3782,21/8/25
UK,9S2,Grecian Rocks,OS,25.1075,-80.3068,21/8/25
UK,9P3,Porter Patch,P,25.1032,-80.3243,21/8/25
BC,BC1,Broward County 1,Inner,26.1479,-80.096,22/10/25
BC,BC3,Broward County 3,Outer,26.1586,-80.0774,22/10/25
BC,BC5,Broward County 5,Middle,26.3019,-80.0682,22/10/25
BC,BC6,Broward County 6,Outer,26.3011,-80.0609,22/10/25
UK,9P4,Admiral,P,25.0447,-80.3948,22/8/25
UK,9D3,Molasses Deep,OD,25.0072,-80.3756,22/8/25
UK,9S3,Molasses Shallow,OS,25.0088,-80.3765,22/8/25
PB,PB2,Palm Beach 2,Middle,26.6785,-80.0183,24/10/24
PB,PB3,Palm Beach 3,Outer,26.7104,-80.0158,24/10/24
MK,7P2,Dustan Rocks,P,24.6895,-81.0302,25/9/25
MK,5H1,Moser Channel,HB,24.6891,-81.1676,25/9/25
MK,5D1,Sombrero Deep,OD,24.6223,-81.112,25/9/25
MK,5S1,Sombrero Shallow,OS,24.6253,-81.1116,25/9/25
MK,7P4,Thor,P,24.6715,-81.0506,25/9/25
PB,PB4,Palm Beach 4,Outer,26.4878,-80.0391,26/10/24
PB,PB5,Palm Beach 5,Outer,26.4417,-80.0474,26/10/24
MK,7H2,Long Key,HB,24.7972,-80.784,26/9/25
MK,7P3,Rawa Reef,P,24.7176,-80.9357,26/9/25
MK,7D2,Tennessee Deep,OD,24.7527,-80.7578,26/9/25
MK,7S2,Tennessee Shallow,OS,24.745,-80.7812,26/9/25
MK,7P1,West Turtle Shoal,P,24.6993,-80.9669,26/9/25
LK,FLK3,Sawyer Key,BCP,24.7772,-81.546733,27/09/25
LK,3H1,Content Keys,BCP,24.8221,-81.4889,27/9/25